ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
23231;145B;Netz Ost;K1;1;0;2;0;0;2;0;0;1;1;B;2;18
23235;130;Netz West;K1;1;0;2;0;0;2;0;0;1;1;B;5;39
23290;103;Netz Mitte;K1;1;0;0;10;0;10;0;15;12,5;1;B;2;152
23313;134;Netz Nord;K1;1;0;0;1;0;1;0;0;0,5;1;B;1;174
23313;146;Netz Nord;K1;1;0;0;2;0;2;0;0;1;0;B;1;162
23323;103;Netz Mitte;K1;1;0;4;0;0;4;0;0;2;1;B;1;94
23351;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;89
23395;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;2;94
23395;130;Netz West;K1;1;0;1;0;0;1;0;0;0,5;0;B;2;80
23401;146;Netz Nord;K1;1;0;0;12;0;12;0;0;6;1;B;3;174
23414;131;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;71
23414;134;Netz Nord;K1;1;0;0;0;0;0;0;0;0;0;B;1;45
23415;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;1;B;1;51
23416;104;Netz Ost;K1;1;0;3;0;0;3;0;0;1,5;1;B;2;11
23428;131;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;2;95
23429;134;Netz Nord;K1;1;0;0;0;0;0;0;0;0;0;B;1;42
23433;146;Netz Nord;K1;1;0;0;10;0;10;0;0;5;1;A;2;174
23443;134;Netz Nord;K1;1;0;0;4;0;4;0;0;2;1;B;2;176
23443;146;Netz Nord;K1;1;0;0;5;0;5;0;0;2,5;0;B;2;165
23455;103;Netz Mitte;K1;1;0;0;2;0;2;0;0;1;1;B;3;51
23463;104;Netz Ost;K1;1;1;0;0;0;1;0;0;0,5;1;B;1;128
23467;104;Netz Ost;K1;1;0;2;0;0;2;0;0;1;1;B;2;58
23523;103;Netz Mitte;K1;1;0;2;0;0;2;0;0;1;1;B;2;19
23529;104;Netz Ost;K1;1;0;1;6;0;7;0;0;3,5;1;B;4;164
23533;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;3;51
23538;146;Netz Nord;Ad-hoc, K1;1;0;0;4;0;4;0;0;2;1;F;2;225
23538;146;Netz Nord;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;F;2;42
23563;104;Netz Ost;K1;1;0;19;0;0;19;0;0;9,5;1;B;3;52
23606;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;1;59
23627;103;Netz Mitte;K1;1;1;0;0;0;1;0;0;0,5;1;B;1;35
23630;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;B;1;45
23630;103;Netz Mitte;K1;1;0;3;0;0;3;0;0;1,5;1;B;1;55
23638;130;Netz West;K1;1;0;0;0;0;0;0;0;0;1;B;2;54
23685;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;2;17
23693;104;Netz Ost;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;41
23694;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;1;B;1;58
23694;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;0;B;1;43
23731;140;Netz Ost;K5;1;0;1;2;0;3;0;0;1,5;1;B;2;479
23732;130;Netz West;K1;1;0;0;0;0;0;0;0;0;1;B;6;56
23734;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;3;57
23739;145B;Netz Ost;K1;1;0;0;0;0;0;0;0;0;1;B;5;60
23742;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;2;56
23788;104;Netz Ost;K1;1;0;4;9;0;13;0;0;6,5;1;B;7;175
23788;104;Netz Ost;K1;1;0;2;1;0;3;0;0;1,5;0;B;1;157
23821;104;Netz Ost;K5;1;0;0;0;0;0;0;0;0;1;B;2;306
23835;103/131;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;1;59
23835;145B;Netz Ost;K1;1;0;0;0;0;0;0;0;0;0;B;1;45
23836;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;60
23836;145B;Netz Ost;K1;1;0;0;0;0;0;0;0;0;0;B;1;45
23838;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;3;93
23839;103;Netz Mitte;K1;1;0;0;1;0;1;0;0;0,5;1;B;1;159
23842;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;61
23850;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;55
23851;103;Netz Mitte;K1;1;0;2;0;0;2;0;0;1;1;B;8;55
23911;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;1;51
23912;134;Netz Nord;K1;1;0;3;0;0;3;0;0;1,5;1;B;3;118
23913;131;Netz Mitte;K1;1;0;0;18;0;18;0;0;9;1;B;14;159
23914;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;2;54
23915;146;Netz Nord;K1;1;0;0;0;0;0;0;0;0;1;B;3;18
